externalKey,tier_short,tier_label,tier_order,segment,role_fit,organization,region,state,state_name,city,county,city_county,locale_code,locale_display,saipe_numeric,saipe_display,basis,phone,website,outreach_program,outreach_link,students,school_count,source,detail
CAND|CDE Career Institute|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,CDE Career Institute,Northeast,PA,,Tannersville,Monroe County,Tannersville / Monroe County,41,41,10.8,10.8%,Locale 41,(570) 409-9023,https://www.cde.edu/,,,,,Higher Ed seed file,"{'Institution': 'CDE Career Institute', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Tannersville', 'County': 'Monroe County', 'ZIP': '18372', 'Locale': '41', 'Poverty Percent': '10.8', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Tina Albright', 'Leader Title': 'President', 'Phone': '(570) 409-9023', 'Website': 'https://www.cde.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Cattaraugus Allegany BOCES-Practical Nursing Program|NY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Cattaraugus Allegany BOCES-Practical Nursing Program,Northeast,NY,,Olean,Cattaraugus County,Olean / Cattaraugus County,41,41,18.7,18.7%,Locale 41,(716) 376-8200,https://www.caboces.org/,,,,,Higher Ed seed file,"{'Institution': 'Cattaraugus Allegany BOCES-Practical Nursing Program', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NY', 'City': 'Olean', 'County': 'Cattaraugus County', 'ZIP': '14760', 'Locale': '41', 'Poverty Percent': '18.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Scott Payne', 'Leader Title': 'District Superintendent and CEO', 'Phone': '(716) 376-8200', 'Website': 'https://www.caboces.org/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Central Arizona College|AZ,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Central Arizona College,West,AZ,,Coolidge,Pinal County,Coolidge / Pinal County,41,41,11.0,11.0%,Locale 41,(520) 494-5444,https://www.centralaz.edu/,,,,,Higher Ed seed file,"{'Institution': 'Central Arizona College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AZ', 'City': 'Coolidge', 'County': 'Pinal County', 'ZIP': '85128-9030', 'Locale': '41', 'Poverty Percent': '11.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Jackie Elliott', 'Leader Title': 'President', 'Phone': '(520) 494-5444', 'Website': 'https://www.centralaz.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Central Pennsylvania Institute of Science and Technology|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Central Pennsylvania Institute of Science and Technology,Northeast,PA,,Pleasant Gap,Centre County,Pleasant Gap / Centre County,41,41,14.3,14.3%,Locale 41,(814) 359-2793,https://www.cpi.edu/,,,,,Higher Ed seed file,"{'Institution': 'Central Pennsylvania Institute of Science and Technology', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Pleasant Gap', 'County': 'Centre County', 'ZIP': '16823', 'Locale': '41', 'Poverty Percent': '14.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'MaryAnn Volders', 'Leader Title': 'President', 'Phone': '(814) 359-2793', 'Website': 'https://www.cpi.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Central Susquehanna Intermediate Unit LPN Career|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Central Susquehanna Intermediate Unit LPN Career,Northeast,PA,,Milton,Northumberland County,Milton / Northumberland County,41,41,14.2,14.2%,Locale 41,(570) 768-4960,https://www.csiu.org/lpn,,,,,Higher Ed seed file,"{'Institution': 'Central Susquehanna Intermediate Unit LPN Career', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Milton', 'County': 'Northumberland County', 'ZIP': '17847', 'Locale': '41', 'Poverty Percent': '14.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Ashlee Bower', 'Leader Title': 'Director', 'Phone': '(570) 768-4960', 'Website': 'https://www.csiu.org/lpn', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Cerro Coso Community College|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Cerro Coso Community College,West,CA,,Ridgecrest,Kern County,Ridgecrest / Kern County,41,41,18.6,18.6%,Locale 41,(760) 384-6100,https://cerrocoso.edu/,,,,,Higher Ed seed file,"{'Institution': 'Cerro Coso Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'Ridgecrest', 'County': 'Kern County', 'ZIP': '93555-9571', 'Locale': '41', 'Poverty Percent': '18.6', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Sean Hancock', 'Leader Title': 'President', 'Phone': '(760) 384-6100', 'Website': 'https://cerrocoso.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Charles H McCann Technical School|MA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Charles H McCann Technical School,Northeast,MA,,North Adams,Berkshire County,North Adams / Berkshire County,41,41,11.3,11.3%,Locale 41,4136635383181,https://www.mccanntech.org/,,,,,Higher Ed seed file,"{'Institution': 'Charles H McCann Technical School', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MA', 'City': 'North Adams', 'County': 'Berkshire County', 'ZIP': '01247-3999', 'Locale': '41', 'Poverty Percent': '11.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'James J. Brosnan', 'Leader Title': 'Superintendent', 'Phone': '4136635383181', 'Website': 'https://www.mccanntech.org/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Cheyney University of Pennsylvania|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Cheyney University of Pennsylvania,Northeast,PA,,Cheyney,Delaware County,Cheyney / Delaware County,41,41,10.7,10.7%,Locale 41,(610) 399-2275,https://www.cheyney.edu/,,,,,Higher Ed seed file,"{'Institution': 'Cheyney University of Pennsylvania', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Cheyney', 'County': 'Delaware County', 'ZIP': '19319-0200', 'Locale': '41', 'Poverty Percent': '10.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Aaron Walton', 'Leader Title': 'President', 'Phone': '(610) 399-2275', 'Website': 'https://www.cheyney.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Clearfield County Career and Technology Center|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Clearfield County Career and Technology Center,Northeast,PA,,Clearfield,Clearfield County,Clearfield / Clearfield County,41,41,14.9,14.9%,Locale 41,(814) 765-5308,https://ccctc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Clearfield County Career and Technology Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Clearfield', 'County': 'Clearfield County', 'ZIP': '16830', 'Locale': '41', 'Poverty Percent': '14.9', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Melissa Mowrey', 'Leader Title': 'Executive Director', 'Phone': '(814) 765-5308', 'Website': 'https://ccctc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Cloud County Community College|KS,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Cloud County Community College,Northeast,KS,,Concordia,Cloud County,Concordia / Cloud County,41,41,13.2,13.2%,Locale 41,(785) 243-1435,https://www.cloud.edu/,,,,,Higher Ed seed file,"{'Institution': 'Cloud County Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KS', 'City': 'Concordia', 'County': 'Cloud County', 'ZIP': '66901-3108', 'Locale': '41', 'Poverty Percent': '13.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Amber Knoettgen', 'Leader Title': 'President', 'Phone': '(785) 243-1435', 'Website': 'https://www.cloud.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Coconino Community College|AZ,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Coconino Community College,West,AZ,,Flagstaff,Coconino County,Flagstaff / Coconino County,41,41,15.2,15.2%,Locale 41,(928) 527-1222,https://www.coconino.edu/,,,,,Higher Ed seed file,"{'Institution': 'Coconino Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AZ', 'City': 'Flagstaff', 'County': 'Coconino County', 'ZIP': '86005-2701', 'Locale': '41', 'Poverty Percent': '15.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Eric Heiser, PhD', 'Leader Title': 'President', 'Phone': '(928) 527-1222', 'Website': 'https://www.coconino.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|College of the Muscogee Nation|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,College of the Muscogee Nation,West,OK,,Okmulgee,Okmulgee County,Okmulgee / Okmulgee County,41,41,19.6,19.6%,Locale 41,(918) 549-2800,https://cmn.edu/,,,,,Higher Ed seed file,"{'Institution': 'College of the Muscogee Nation', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Okmulgee', 'County': 'Okmulgee County', 'ZIP': '74447-0917', 'Locale': '41', 'Poverty Percent': '19.6', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Monte Randall', 'Leader Title': 'President', 'Phone': '(918) 549-2800', 'Website': 'https://cmn.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|College of the Redwoods|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,College of the Redwoods,West,CA,,Eureka,Humboldt County,Eureka / Humboldt County,41,41,18.0,18.0%,Locale 41,(707) 476-4100,https://www.redwoods.edu/,,,,,Higher Ed seed file,"{'Institution': 'College of the Redwoods', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'Eureka', 'County': 'Humboldt County', 'ZIP': '95501-9300', 'Locale': '41', 'Poverty Percent': '18.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Keith Flamer', 'Leader Title': 'President/Superintendent', 'Phone': '(707) 476-4100', 'Website': 'https://www.redwoods.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Collins Career Technical Center|OH,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Collins Career Technical Center,Northeast,OH,,Chesapeake,Lawrence County,Chesapeake / Lawrence County,41,41,15.0,15.0%,Locale 41,7408676641202,https://www.collins-cc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Collins Career Technical Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OH', 'City': 'Chesapeake', 'County': 'Lawrence County', 'ZIP': '45619-0000', 'Locale': '41', 'Poverty Percent': '15.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Adam Pittis', 'Leader Title': 'Superintendent', 'Phone': '7408676641202', 'Website': 'https://www.collins-cc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Columbia College|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Columbia College,West,CA,,Sonora,Tuolumne County,Sonora / Tuolumne County,41,41,12.7,12.7%,Locale 41,(209) 588-5100,https://www.gocolumbia.edu/,,,,,Higher Ed seed file,"{'Institution': 'Columbia College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'Sonora', 'County': 'Tuolumne County', 'ZIP': '95370', 'Locale': '41', 'Poverty Percent': '12.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Lena Tran', 'Leader Title': 'President', 'Phone': '(209) 588-5100', 'Website': 'https://www.gocolumbia.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Columbia-Greene Community College|NY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Columbia-Greene Community College,Northeast,NY,,Hudson,Columbia County,Hudson / Columbia County,41,41,11.1,11.1%,Locale 41,(518) 697-6400,https://www.columbiagreene.edu/,,,,,Higher Ed seed file,"{'Institution': 'Columbia-Greene Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NY', 'City': 'Hudson', 'County': 'Columbia County', 'ZIP': '12534', 'Locale': '41', 'Poverty Percent': '11.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Carlee Drummer', 'Leader Title': 'President', 'Phone': '(518) 697-6400', 'Website': 'https://www.columbiagreene.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Concord University|WV,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Concord University,Mid-Atlantic,WV,,Athens,Mercer County,Athens / Mercer County,41,41,17.9,17.9%,Locale 41,(888) 344-6679,https://www.concord.edu/,,,,,Higher Ed seed file,"{'Institution': 'Concord University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'WV', 'City': 'Athens', 'County': 'Mercer County', 'ZIP': '24712', 'Locale': '41', 'Poverty Percent': '17.9', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Kendra Boggess', 'Leader Title': 'President', 'Phone': '(888) 344-6679', 'Website': 'https://www.concord.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Crowley's Ridge College|AR,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Crowley's Ridge College,Southeast,AR,,Paragould,Greene County,Paragould / Greene County,41,41,14.1,14.1%,Locale 41,(870) 236-6901,https://www.crc.edu/,,,,,Higher Ed seed file,"{'Institution': ""Crowley's Ridge College"", 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AR', 'City': 'Paragould', 'County': 'Greene County', 'ZIP': '72450', 'Locale': '41', 'Poverty Percent': '14.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Richard Johnson', 'Leader Title': 'President', 'Phone': '(870) 236-6901', 'Website': 'https://www.crc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Cuesta College|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Cuesta College,West,CA,,San Luis Obispo,San Luis Obispo County,San Luis Obispo / San Luis Obispo County,41,41,12.6,12.6%,Locale 41,(805) 546-3100,https://www.cuesta.edu/,,,,,Higher Ed seed file,"{'Institution': 'Cuesta College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'San Luis Obispo', 'County': 'San Luis Obispo County', 'ZIP': '93403-8106', 'Locale': '41', 'Poverty Percent': '12.6', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Jill Stearns', 'Leader Title': 'President Superintendent', 'Phone': '(805) 546-3100', 'Website': 'https://www.cuesta.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Davidson-Davie Community College|NC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Davidson-Davie Community College,Southeast,NC,,Thomasville,Davidson County,Thomasville / Davidson County,41,41,11.2,11.2%,Locale 41,(336) 249-8186,https://www.davidsondavie.edu/,,,,,Higher Ed seed file,"{'Institution': 'Davidson-Davie Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NC', 'City': 'Thomasville', 'County': 'Davidson County', 'ZIP': '27360-7385', 'Locale': '41', 'Poverty Percent': '11.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Jenny Varner', 'Leader Title': 'President', 'Phone': '(336) 249-8186', 'Website': 'https://www.davidsondavie.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Delaware Chenango Madison Otsego BOCES-Practical Nursing Program|NY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Northeast,NY,,Norwich,Chenango County,Norwich / Chenango County,41,41,12.1,12.1%,Locale 41,(607) 335-1210,https://www.dcmoboces.com/,,,,,Higher Ed seed file,"{'Institution': 'Delaware Chenango Madison Otsego BOCES-Practical Nursing Program', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NY', 'City': 'Norwich', 'County': 'Chenango County', 'ZIP': '13815-3554', 'Locale': '41', 'Poverty Percent': '12.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Michael Rullo', 'Leader Title': 'District Superintendent', 'Phone': '(607) 335-1210', 'Website': 'https://www.dcmoboces.com/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Delta College|MI,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Delta College,Northeast,MI,,University Center,Bay County,University Center / Bay County,41,41,11.8,11.8%,Locale 41,(989) 686-9000,https://www.delta.edu/,,,,,Higher Ed seed file,"{'Institution': 'Delta College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MI', 'City': 'University Center', 'County': 'Bay County', 'ZIP': '48710', 'Locale': '41', 'Poverty Percent': '11.8', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Michael Gavin', 'Leader Title': 'President', 'Phone': '(989) 686-9000', 'Website': 'https://www.delta.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|EHOVE Career Center|OH,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,EHOVE Career Center,Northeast,OH,,Milan,Erie County,Milan / Erie County,41,41,13.1,13.1%,Locale 41,4194994663280,https://www.ehove.net/,,,,,Higher Ed seed file,"{'Institution': 'EHOVE Career Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OH', 'City': 'Milan', 'County': 'Erie County', 'ZIP': '44846', 'Locale': '41', 'Poverty Percent': '13.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Chris M. McCully', 'Leader Title': 'Superintendent', 'Phone': '4194994663280', 'Website': 'https://www.ehove.net/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Eastern Oklahoma County Technology Center|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Eastern Oklahoma County Technology Center,West,OK,,Choctaw,Oklahoma County,Choctaw / Oklahoma County,41,41,16.2,16.2%,Locale 41,(405) 390-9591,https://www.eoctech.edu/,,,,,Higher Ed seed file,"{'Institution': 'Eastern Oklahoma County Technology Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Choctaw', 'County': 'Oklahoma County', 'ZIP': '73020-9017', 'Locale': '41', 'Poverty Percent': '16.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Mr. Tony Hancock', 'Leader Title': 'Superintendent', 'Phone': '(405) 390-9591', 'Website': 'https://www.eoctech.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Emory & Henry University|VA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Emory & Henry University,Mid-Atlantic,VA,,Emory,Washington County,Emory / Washington County,41,41,11.7,11.7%,Locale 41,(276) 944-4121,https://www.emoryhenry.edu/,,,,,Higher Ed seed file,"{'Institution': 'Emory & Henry University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'VA', 'City': 'Emory', 'County': 'Washington County', 'ZIP': '24327-0947', 'Locale': '41', 'Poverty Percent': '11.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'A. Louise Fincher', 'Leader Title': 'Interim President', 'Phone': '(276) 944-4121', 'Website': 'https://www.emoryhenry.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Fayette County Career & Technical Institute Practical Nursing Program|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Fayette County Career & Technical Institute Practical Nursing Program,Northeast,PA,,Uniontown,Fayette County,Uniontown / Fayette County,41,41,14.7,14.7%,Locale 41,7244372721124,https://www.fayettecti.org/,,,,,Higher Ed seed file,"{'Institution': 'Fayette County Career & Technical Institute Practical Nursing Program', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Uniontown', 'County': 'Fayette County', 'ZIP': '15401', 'Locale': '41', 'Poverty Percent': '14.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Cynthia Shaw', 'Leader Title': 'Director of Vocational Education', 'Phone': '7244372721124', 'Website': 'https://www.fayettecti.org/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Fletcher Technical Community College|LA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Fletcher Technical Community College,Southeast,LA,,Schriever,Terrebonne Parish,Schriever / Terrebonne Parish,41,41,18.0,18.0%,Locale 41,(985) 448-7900,https://www.fletcher.edu/,,,,,Higher Ed seed file,"{'Institution': 'Fletcher Technical Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'LA', 'City': 'Schriever', 'County': 'Terrebonne Parish', 'ZIP': '70395', 'Locale': '41', 'Poverty Percent': '18.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Kristine Strickland', 'Leader Title': 'Chancellor', 'Phone': '(985) 448-7900', 'Website': 'https://www.fletcher.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Florence-Darlington Technical College|SC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Florence-Darlington Technical College,Southeast,SC,,Florence,Florence County,Florence / Florence County,41,41,17.5,17.5%,Locale 41,(843) 661-8324,https://www.fdtc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Florence-Darlington Technical College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SC', 'City': 'Florence', 'County': 'Florence County', 'ZIP': '29501-0548', 'Locale': '41', 'Poverty Percent': '17.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Jermaine Ford', 'Leader Title': 'President', 'Phone': '(843) 661-8324', 'Website': 'https://www.fdtc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Florida Polytechnic University|FL,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Florida Polytechnic University,Southeast,FL,,Lakeland,Polk County,Lakeland / Polk County,41,41,13.4,13.4%,Locale 41,(863) 583-9050,https://floridapoly.edu/,,,,,Higher Ed seed file,"{'Institution': 'Florida Polytechnic University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'FL', 'City': 'Lakeland', 'County': 'Polk County', 'ZIP': '33805-8531', 'Locale': '41', 'Poverty Percent': '13.4', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Devin Stephenson', 'Leader Title': 'President, CEO', 'Phone': '(863) 583-9050', 'Website': 'https://floridapoly.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
