Title,ExternalKey,TierCode,TierLabel,Segment,RoleFit,OrganizationName,StateCode,StateName,City,County,LocaleCode,LocaleDisplay,SaipePercent,SaipeBand,Basis,ContactName,ContactTitle,Phone,Website,OutreachProgram,OutreachLink,Flags,AssignedRepText,OutreachStatus,LastContact,NextStep,Notes,SourceDataset,ActiveFlag
COSSATOT RIVER SCHOOL DISTRICT,2-school-district-ar-cossatot-river-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COSSATOT RIVER SCHOOL DISTRICT,AR,Arkansas,Wickes,Polk County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(870) 385-7101,http://www.cossatot.us,,,,,Not Started,,,,K12 Locale43,Yes
COTTONWOOD,2-school-district-ok-cottonwood,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COTTONWOOD,OK,Oklahoma,Coalgate,Coal County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(580) 927-2937,http://www.cottonwoodschool.net,,,,,Not Started,,,,K12 Locale43,Yes
Cottonwood Elem,2-school-district-mt-cottonwood-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cottonwood Elem,MT,Montana,Havre,Hill County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 394-2273,,,,,,Not Started,,,,K12 Locale43,Yes
COTTONWOOD JOINT DISTRICT,2-school-district-id-cottonwood-joint-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COTTONWOOD JOINT DISTRICT,ID,Idaho,Cottonwood,Idaho County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(208) 962-3971,,,,,,Not Started,,,,K12 Locale43,Yes
COTULLA ISD,1-school-district-tx-cotulla-isd,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,COTULLA ISD,TX,Texas,Cotulla,La Salle County,43,43-Rural: Remote,32.2,30%+,Locale 43 and SAIPE ≥ 30%,RAMIRO NAVA,District Contact,(830) 879-3073,http://www.cotullaisd.org,,,,,Not Started,,,,K12 Locale43,Yes
COUCH R-I,2-school-district-mo-couch-r-i,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COUCH R-I,MO,Missouri,Myrtle,Oregon County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(417) 938-4211,http://www.couch.k12.mo.us,,,,,Not Started,,,,K12 Locale43,Yes
Coudersport Area SD,2-school-district-pa-coudersport-area-sd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Coudersport Area SD,PA,Pennsylvania,Coudersport,Potter County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(814) 274-9480,http://www.coudyschools.net,,,,,Not Started,,,,K12 Locale43,Yes
Coulee-Hartline School District,2-school-district-wa-coulee-hartline-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Coulee-Hartline School District,WA,Washington,Coulee City,Grant County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(509) 632-5231,,,,,,Not Started,,,,K12 Locale43,Yes
Coulterville USD 1,2-school-district-il-coulterville-usd-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Coulterville USD 1,IL,Illinois,Coulterville,Randolph County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(618) 758-2881,http://www.cvillecusd1.com,,,,,Not Started,,,,K12 Locale43,Yes
COUNCIL DISTRICT,2-school-district-id-council-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COUNCIL DISTRICT,ID,Idaho,Council,Adams County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(208) 253-4217,,,,,,Not Started,,,,K12 Locale43,Yes
Cove SD 15,2-school-district-or-cove-sd-15,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cove SD 15,OR,Oregon,Cove,Union County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(541) 568-4424,http://www.cove.k12.or.us,,,,,Not Started,,,,K12 Locale43,Yes
Coventry School District,2-school-district-vt-coventry-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Coventry School District,VT,Vermont,Coventry,Orleans County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(802) 754-6464,,,,,,Not Started,,,,K12 Locale43,Yes
COWGILL R-VI,2-school-district-mo-cowgill-r-vi,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COWGILL R-VI,MO,Missouri,Cowgill,Caldwell County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(660) 255-4415,http://WWW.COWGILLR6.com,,,,,Not Started,,,,K12 Locale43,Yes
COZAD COMMUNITY SCHOOLS,2-school-district-ne-cozad-community-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,COZAD COMMUNITY SCHOOLS,NE,Nebraska,Cozad,Dawson County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 784-2745,,,,,,Not Started,,,,K12 Locale43,Yes
Craftsbury Town School District,2-school-district-vt-craftsbury-town-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Craftsbury Town School District,VT,Vermont,Craftsbury Common,Orleans County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(802) 586-2541,,,,,,Not Started,,,,K12 Locale43,Yes
Craig City School District,2-school-district-ak-craig-city-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Craig City School District,AK,Alaska,Craig,Prince of Wales-Hyder Census Area,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(907) 826-3274,http://www.ccsd.k12.ak.us,,,,,Not Started,,,,K12 Locale43,Yes
CRAIG R-III,2-school-district-mo-craig-r-iii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CRAIG R-III,MO,Missouri,Craig,Holt County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(660) 683-5351,http://sites.google.com/craigr3school.org/craigr-3schooldistrict/home,,,,,Not Started,,,,K12 Locale43,Yes
Cranberry Isles Public Schools,2-school-district-me-cranberry-isles-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cranberry Isles Public Schools,ME,Maine,Bar Harbor,Hancock County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(207) 288-5040,http://www.mdirss.net,,,,,Not Started,,,,K12 Locale43,Yes
Crandon School District,2-school-district-wi-crandon-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crandon School District,WI,Wisconsin,Crandon,Forest County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 478-6200,http://www.sdofcrandon.com,,,,,Not Started,,,,K12 Locale43,Yes
CRANE ISD,2-school-district-tx-crane-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CRANE ISD,TX,Texas,Crane,Crane County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(432) 558-1300,http://www.craneisd.com,,,,,Not Started,,,,K12 Locale43,Yes
CRANFILLS GAP ISD,2-school-district-tx-cranfills-gap-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CRANFILLS GAP ISD,TX,Texas,Cranfills Gap,Bosque County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(254) 263-3388,http://cranfillsgapisd.net,,,,,Not Started,,,,K12 Locale43,Yes
Crawford AuSable Schools,2-school-district-mi-crawford-ausable-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crawford AuSable Schools,MI,Michigan,Grayling,Crawford County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(989) 344-3500,http://www.casdk12.net,,,,,Not Started,,,,K12 Locale43,Yes
CRAWFORD CO. R-II,2-school-district-mo-crawford-co-r-ii,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CRAWFORD CO. R-II,MO,Missouri,Cuba,Lafayette County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(573) 885-2534,http://www.ccr2.org,,,,,Not Started,,,,K12 Locale43,Yes
CRAWFORD PUBLIC SCHOOLS,2-school-district-ne-crawford-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CRAWFORD PUBLIC SCHOOLS,NE,Nebraska,Crawford,Dawes County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 665-1537,,,,,,Not Started,,,,K12 Locale43,Yes
Crawford Public Schools,2-school-district-me-crawford-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crawford Public Schools,ME,Maine,Pembroke,Washington County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(207) 853-2567,,,,,,Not Started,,,,K12 Locale43,Yes
Creede School District,2-school-district-co-creede-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Creede School District,CO,Colorado,Creede,Mineral County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(719) 658-2220,http://www.creedek12.net/,,,,,Not Started,,,,K12 Locale43,Yes
CREEK VALLEY SCHOOLS,2-school-district-ne-creek-valley-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CREEK VALLEY SCHOOLS,NE,Nebraska,Chappell,Deuel County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(308) 874-2911,,,,,,Not Started,,,,K12 Locale43,Yes
CREIGHTON COMMUNITY PUBLIC SCHOOLS,2-school-district-ne-creighton-community-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CREIGHTON COMMUNITY PUBLIC SCHOOLS,NE,Nebraska,Creighton,Knox County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(402) 358-5000,,,,,,Not Started,,,,K12 Locale43,Yes
Crenshaw County,2-school-district-al-crenshaw-county,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crenshaw County,AL,Alabama,Luverne,Crenshaw County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(334) 335-6519,http://www.crenshawcounty.schoolinsites.com,,,,,Not Started,,,,K12 Locale43,Yes
Crescent School District,2-school-district-wa-crescent-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crescent School District,WA,Washington,Joyce,Clallam County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(360) 928-3311,http://www.csd313.org,,,,,Not Started,,,,K12 Locale43,Yes
Creston School District,2-school-district-wa-creston-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Creston School District,WA,Washington,Creston,Lincoln County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(509) 636-2721,,,,,,Not Started,,,,K12 Locale43,Yes
Crittenden County,2-school-district-ky-crittenden-county,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crittenden County,KY,Kentucky,Marion,Crittenden County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(270) 965-3525,http://www.crittenden.kyschools.us,,,,,Not Started,,,,K12 Locale43,Yes
Crivitz School District,2-school-district-wi-crivitz-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crivitz School District,WI,Wisconsin,Crivitz,Marinette County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 854-2721,http://www.crivitz.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
CROCKETT COUNTY CONSOLIDATED CSD,2-school-district-tx-crockett-county-consolidated-csd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROCKETT COUNTY CONSOLIDATED CSD,TX,Texas,Ozona,Crockett County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(325) 392-5501,http://www.ozonaschools.net,,,,,Not Started,,,,K12 Locale43,Yes
CROFTON COMMUNITY SCHOOLS,2-school-district-ne-crofton-community-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROFTON COMMUNITY SCHOOLS,NE,Nebraska,Crofton,Knox County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(402) 388-2440,,,,,,Not Started,,,,K12 Locale43,Yes
CROMWELL-WRIGHT PUBLIC SCHOOLS,2-school-district-mn-cromwell-wright-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROMWELL-WRIGHT PUBLIC SCHOOLS,MN,Minnesota,Cromwell,Carlton County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(218) 644-3737,http://www.isd95.org/,,,,,Not Started,,,,K12 Locale43,Yes
Crook County School District #1,2-school-district-wy-crook-county-school-district-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crook County School District #1,WY,Wyoming,Sundance,Crook County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(307) 283-2299,http://www.crook1.com,,,,,Not Started,,,,K12 Locale43,Yes
Crosby-Ironton Public School Dist.,2-school-district-mn-crosby-ironton-public-school-dist,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crosby-Ironton Public School Dist.,MN,Minnesota,Crosby,Crow Wing County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(218) 545-8801,http://www.ci.k12.mn.us/,,,,,Not Started,,,,K12 Locale43,Yes
CROSBYTON CISD,2-school-district-tx-crosbyton-cisd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROSBYTON CISD,TX,Texas,Crosbyton,Crosby County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(806) 675-7331,http://www.crosbyton.k12.tx.us,,,,,Not Started,,,,K12 Locale43,Yes
CROSS COUNTY COMMUNITY SCHOOLS,2-school-district-ne-cross-county-community-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROSS COUNTY COMMUNITY SCHOOLS,NE,Nebraska,Stromsburg,Polk County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(402) 764-5521,,,,,,Not Started,,,,K12 Locale43,Yes
CROSS PLAINS ISD,2-school-district-tx-cross-plains-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROSS PLAINS ISD,TX,Texas,Cross Plains,Callahan County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(254) 725-6121,http://www.crossplainsisd.net,,,,,Not Started,,,,K12 Locale43,Yes
CROSS ROADS ISD,2-school-district-tx-cross-roads-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROSS ROADS ISD,TX,Texas,Malakoff,Henderson County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(903) 489-2001,http://www.crossroadsisd.org,,,,,Not Started,,,,K12 Locale43,Yes
CROSSLAKE COMMUNITY CHARTER SCHOOL,2-school-district-mn-crosslake-community-charter-school,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROSSLAKE COMMUNITY CHARTER SCHOOL,MN,Minnesota,Crosslake,Crow Wing County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(218) 537-3623,http://www.crosslakekids.org/,,,,,Not Started,,,,K12 Locale43,Yes
CROWDER,2-school-district-ok-crowder,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROWDER,OK,Oklahoma,Crowder,Pittsburg County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(918) 334-3203,http://www.crowder.k12.ok.us,,,,,Not Started,,,,K12 Locale43,Yes
CROWELL ISD,2-school-district-tx-crowell-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROWELL ISD,TX,Texas,Crowell,Foard County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(940) 684-1403,http://www.crowellisd.net,,,,,Not Started,,,,K12 Locale43,Yes
Crowley County School District No. Re-1-J,2-school-district-co-crowley-county-school-district-no-re-1-j,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Crowley County School District No. Re-1-J,CO,Colorado,Ordway,Crowley County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(719) 267-3117,http://www.cck12.net,,,,,Not Started,,,,K12 Locale43,Yes
CROWN POINT CENTRAL SCHOOL DISTRICT,2-school-district-ny-crown-point-central-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CROWN POINT CENTRAL SCHOOL DISTRICT,NY,New York,Crown Point,Essex County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(518) 597-4200,http://www.cpcsteam.org,,,,,Not Started,,,,K12 Locale43,Yes
CUBA,1-school-district-nm-cuba,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,CUBA,NM,New Mexico,Cuba,Sandoval County,43,43-Rural: Remote,43.8,30%+,Locale 43 and SAIPE ≥ 30%,Raphaelita Phillips,District Contact,(575) 289-3211,http://cuba.k12.nm.us,,,,,Not Started,,,,K12 Locale43,Yes
CULBERSON COUNTY-ALLAMOORE ISD,1-school-district-tx-culberson-county-allamoore-isd,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,CULBERSON COUNTY-ALLAMOORE ISD,TX,Texas,Van Horn,Culberson County,43,43-Rural: Remote,33.2,30%+,Locale 43 and SAIPE ≥ 30%,KEN BAUGH,District Contact,(432) 283-2245,http://www.ccaisd.net,,,,,Not Started,,,,K12 Locale43,Yes
Culbertson Elem,2-school-district-mt-culbertson-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Culbertson Elem,MT,Montana,Culbertson,Roosevelt County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 787-6241,http://www.culbertsonschool.com,,,,,Not Started,,,,K12 Locale43,Yes
Culbertson H S,2-school-district-mt-culbertson-h-s,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Culbertson H S,MT,Montana,Culbertson,Roosevelt County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 787-6241,http://www.culbertsonschool.com,,,,,Not Started,,,,K12 Locale43,Yes
Cumberland County,1-school-district-ky-cumberland-county,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,Cumberland County,KY,Kentucky,Burkesville,Cumberland County,43,43-Rural: Remote,32.3,30%+,Locale 43 and SAIPE ≥ 30%,Michelle Cash,District Contact,(270) 864-3377,http://www.cland.k12.ky.us/,,,,,Not Started,,,,K12 Locale43,Yes
Cumberland County Public Schools,2-school-district-va-cumberland-county-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cumberland County Public Schools,VA,Virginia,Cumberland,Cumberland County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(804) 492-4212,http://www.cucps.k12.va.us,,,,,Not Started,,,,K12 Locale43,Yes
Cumberland CUSD 77,2-school-district-il-cumberland-cusd-77,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cumberland CUSD 77,IL,Illinois,Toledo,Cumberland County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(217) 923-3132,http://www.cumberland.k12.il.us,,,,,Not Started,,,,K12 Locale43,Yes
Cumberland School District,2-school-district-wi-cumberland-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cumberland School District,WI,Wisconsin,Cumberland,Barron County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 822-5124,http://www.cumberland.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
Cunningham,2-school-district-ks-cunningham,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cunningham,KS,Kansas,Cunningham,Kingman County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(620) 298-3271,http://www.usd332.org,,,,,Not Started,,,,K12 Locale43,Yes
Curlew School District,1-school-district-wa-curlew-school-district,1,"Tier 1: K-12 Rural Remote, >30% SAIPE",School District,Spoke Candidate,Curlew School District,WA,Washington,Curlew,Ferry County,43,43-Rural: Remote,33.3,30%+,Locale 43 and SAIPE ≥ 30%,Heather Theckston,District Contact,(509) 779-4931,,,,,,Not Started,,,,K12 Locale43,Yes
CUSHING ISD,2-school-district-tx-cushing-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,CUSHING ISD,TX,Texas,Cushing,Nacogdoches County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(936) 326-4890,http://www.cushingisd.org,,,,,Not Started,,,,K12 Locale43,Yes
Cusick School District,2-school-district-wa-cusick-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cusick School District,WA,Washington,Cusick,Pend Oreille County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(509) 445-1125,,,,,,Not Started,,,,K12 Locale43,Yes
Custer County School District Consolidate 1,2-school-district-co-custer-county-school-district-consolidate-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Custer County School District Consolidate 1,CO,Colorado,Westcliffe,Custer County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(719) 783-4942,http://www.custercountyschools.org,,,,,Not Started,,,,K12 Locale43,Yes
Custer K-12 Schools,2-school-district-mt-custer-k-12-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Custer K-12 Schools,MT,Montana,Custer,Yellowstone County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 856-4117,http://www.custerschools.org,,,,,Not Started,,,,K12 Locale43,Yes
Cut Bank Elem,2-school-district-mt-cut-bank-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cut Bank Elem,MT,Montana,Cut Bank,Glacier County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 873-2229,http://www.cutbankschools.net,,,,,Not Started,,,,K12 Locale43,Yes
Cut Bank H S,2-school-district-mt-cut-bank-h-s,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cut Bank H S,MT,Montana,Cut Bank,Glacier County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 873-2229,http://www.cutbankschools.net,,,,,Not Started,,,,K12 Locale43,Yes
Cutler Public Schools,2-school-district-me-cutler-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cutler Public Schools,ME,Maine,Cutler,Washington County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(207) 255-6585,http://www.bayridgeschool.org,,,,,Not Started,,,,K12 Locale43,Yes
Cuyama Joint Unified,2-school-district-ca-cuyama-joint-unified,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cuyama Joint Unified,CA,California,Cuyama,Santa Barbara County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(661) 766-2482,http://www.cuyamaunified.org,,,,,Not Started,,,,K12 Locale43,Yes
Cypress SD 64,2-school-district-il-cypress-sd-64,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Cypress SD 64,IL,Illinois,Cypress,Johnson County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(618) 657-2525,http://cypressgradeschool.org,,,,,Not Started,,,,K12 Locale43,Yes
Daggett District,2-school-district-ut-daggett-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Daggett District,UT,Utah,Manila,Daggett County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(435) 784-3174,http://www.dsdf.org,,,,,Not Started,,,,K12 Locale43,Yes
DAINGERFIELD-LONE STAR ISD,2-school-district-tx-daingerfield-lone-star-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,DAINGERFIELD-LONE STAR ISD,TX,Texas,Daingerfield,Morris County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(903) 645-2239,http://dlsisd.org,,,,,Not Started,,,,K12 Locale43,Yes
DAKOTA PRAIRIE 1,2-school-district-nd-dakota-prairie-1,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,DAKOTA PRAIRIE 1,ND,North Dakota,Petersburg,Nelson County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(701) 345-8233,http://www.dakota-prairie.k12.nd.us/,,,,,Not Started,,,,K12 Locale43,Yes
DALLAS CO. R-I,2-school-district-mo-dallas-co-r-i,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,DALLAS CO. R-I,MO,Missouri,Buffalo,Dallas County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(417) 345-2222,http://www.bisonpride.us,,,,,Not Started,,,,K12 Locale43,Yes
Damariscotta Public Schools,2-school-district-me-damariscotta-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Damariscotta Public Schools,ME,Maine,Damariscotta,Lincoln County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(207) 506-3044,http://www.aos93.org,,,,,Not Started,,,,K12 Locale43,Yes
Daniels,2-school-district-mt-daniels,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Daniels,MT,Montana,Scobey,Daniels County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 487-2651,,,,,,Not Started,,,,K12 Locale43,Yes
DANVILLE SCHOOL DISTRICT,2-school-district-ar-danville-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,DANVILLE SCHOOL DISTRICT,AR,Arkansas,Danville,Yell County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(479) 495-4800,http://dps-littlejohns.net,,,,,Not Started,,,,K12 Locale43,Yes
